workerid,proliferate.condition,f0,id,poa,response,slide_number_in_experiment,vot,word,error
13,young,7,pang_F0_7_VOT_4.wav,lab,asp,129,4,pang,
13,young,8,pang_F0_8_VOT_3.wav,lab,asp,130,3,pang,
13,young,6,pang_F0_6_VOT_7.wav,lab,asp,131,7,pang,
13,young,2,pang_F0_2_VOT_6.wav,lab,lenis,132,6,pang,
13,young,2,pang_F0_2_VOT_8.wav,lab,lenis,133,8,pang,
13,young,8,pang_F0_8_VOT_7.wav,lab,asp,134,7,pang,
13,young,3,pang_F0_3_VOT_6.wav,lab,lenis,135,6,pang,
13,young,7,pang_F0_7_VOT_8.wav,lab,asp,136,8,pang,
13,young,3,pang_F0_3_VOT_5.wav,lab,lenis,137,5,pang,
13,young,4,pang_F0_4_VOT_8.wav,lab,asp,138,8,pang,
13,young,2,pang_F0_2_VOT_3.wav,lab,lenis,139,3,pang,
13,young,1,pang_F0_1_VOT_1.wav,lab,tense,140,1,pang,
13,young,8,pang_F0_8_VOT_6.wav,lab,asp,141,6,pang,
13,young,2,pang_F0_2_VOT_1.wav,lab,tense,142,1,pang,
13,young,5,pang_F0_5_VOT_6.wav,lab,asp,143,6,pang,
13,young,1,pang_F0_1_VOT_7.wav,lab,lenis,144,7,pang,
13,young,3,pang_F0_3_VOT_2.wav,lab,tense,145,2,pang,
13,young,2,pang_F0_2_VOT_3.wav,lab,lenis,147,3,pang,
13,young,6,pang_F0_6_VOT_3.wav,lab,asp,148,3,pang,
13,young,6,pang_F0_6_VOT_5.wav,lab,asp,149,5,pang,
13,young,3,pang_F0_3_VOT_5.wav,lab,lenis,150,5,pang,
13,young,8,pang_F0_8_VOT_5.wav,lab,asp,151,5,pang,
13,young,5,pang_F0_5_VOT_8.wav,lab,asp,152,8,pang,
13,young,5,pang_F0_5_VOT_2.wav,lab,tense,153,2,pang,
13,young,5,pang_F0_5_VOT_6.wav,lab,asp,154,6,pang,
13,young,5,pang_F0_5_VOT_5.wav,lab,asp,155,5,pang,
13,young,4,pang_F0_4_VOT_2.wav,lab,tense,156,2,pang,
13,young,2,pang_F0_2_VOT_2.wav,lab,tense,157,2,pang,
13,young,8,pang_F0_8_VOT_3.wav,lab,asp,158,3,pang,
13,young,4,pang_F0_4_VOT_4.wav,lab,lenis,159,4,pang,
13,young,7,pang_F0_7_VOT_4.wav,lab,asp,160,4,pang,
13,young,4,pang_F0_4_VOT_5.wav,lab,lenis,161,5,pang,
13,young,7,pang_F0_7_VOT_1.wav,lab,tense,162,1,pang,
13,young,3,pang_F0_3_VOT_2.wav,lab,asp,163,2,pang,
13,young,5,pang_F0_5_VOT_3.wav,lab,asp,164,3,pang,
13,young,6,pang_F0_6_VOT_8.wav,lab,asp,165,8,pang,
13,young,7,pang_F0_7_VOT_6.wav,lab,asp,166,6,pang,
13,young,2,pang_F0_2_VOT_5.wav,lab,lenis,167,5,pang,
13,young,1,pang_F0_1_VOT_5.wav,lab,lenis,168,5,pang,
13,young,1,pang_F0_1_VOT_6.wav,lab,lenis,169,6,pang,
13,young,3,pang_F0_3_VOT_8.wav,lab,lenis,170,8,pang,
13,young,6,pang_F0_6_VOT_2.wav,lab,tense,171,2,pang,
13,young,1,pang_F0_1_VOT_3.wav,lab,lenis,172,3,pang,
13,young,1,pang_F0_1_VOT_7.wav,lab,lenis,173,7,pang,
13,young,1,pang_F0_1_VOT_4.wav,lab,lenis,174,4,pang,
13,young,4,pang_F0_4_VOT_1.wav,lab,tense,175,1,pang,
13,young,3,pang_F0_3_VOT_4.wav,lab,lenis,176,4,pang,
13,young,8,pang_F0_8_VOT_6.wav,lab,asp,177,6,pang,
13,young,5,pang_F0_5_VOT_4.wav,lab,asp,178,4,pang,
